Country,Happiness_Score,Economy,Family,Health,Freedom
Liberia,4.571,0.0712,0.78968,0.34201,0.28531
India,4.565,0.64499,0.38174,0.51529,0.39786
Sudan,4.55,0.52107,1.01404,0.36878,0.10081
Haiti,4.518,0.26673,0.74302,0.38847,0.24425
Congo (Kinshasa),4.517,0,1.0012,0.09806,0.22605
Nepal,4.514,0.35997,0.86449,0.56874,0.38282
Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345
Sierra Leone,4.507,0.33024,0.95571,0,0.4084
Mauritania,4.436,0.45407,0.86908,0.35874,0.24232
Kenya,4.419,0.36471,0.99876,0.41435,0.42215
Djibouti,4.369,0.44025,0.59207,0.36291,0.46074
Armenia,4.35,0.76821,0.77711,0.7299,0.19847
Botswana,4.332,0.99355,1.10464,0.04776,0.49495
Myanmar,4.307,0.27108,0.70905,0.48246,0.44017
Georgia,4.297,0.7419,0.38562,0.72926,0.40577
Malawi,4.292,0.01604,0.41134,0.22562,0.43054
Sri Lanka,4.271,0.83524,1.01905,0.70806,0.53726
Cameroon,4.252,0.4225,0.88767,0.23402,0.49309
Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587
Egypt,4.194,0.8818,0.747,0.61712,0.17288
Yemen,4.077,0.54649,0.68093,0.40064,0.35571
Angola,4.033,0.75778,0.8604,0.16683,0.10384
Mali,3.995,0.26074,1.03526,0.20583,0.38857
Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466
Comoros,3.956,0.23906,0.79273,0.36315,0.22917
Uganda,3.931,0.21102,1.13299,0.33861,0.45727
Senegal,3.904,0.36498,0.97619,0.4354,0.36772
Gabon,3.896,1.06024,0.90528,0.43372,0.31914
Niger,3.845,0.0694,0.77265,0.29707,0.47692
Cambodia,3.819,0.46038,0.62736,0.61114,0.66246
Tanzania,3.781,0.2852,1.00268,0.38215,0.32878
Madagascar,3.681,0.20824,0.66801,0.46721,0.19184
Central African Republic,3.678,0.0785,0,0.06699,0.48879
Chad,3.667,0.34193,0.76062,0.1501,0.23501
Guinea,3.656,0.17417,0.46475,0.24009,0.37725
Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866
Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493
Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414
Rwanda,3.465,0.22208,0.7737,0.42864,0.59201
Benin,3.34,0.28665,0.35386,0.3191,0.4845
Syria,3.006,0.6632,0.47489,0.72193,0.15684
Burundi,2.905,0.0153,0.41587,0.22396,0.1185
Togo,2.839,0.20868,0.13995,0.28443,0.36453
